version,n,threads,rep,time_s,gflops
v1_baseline,500,1,1,0.167854,0.2482
v1_baseline,500,1,2,0.167641,0.2485
v1_baseline,500,1,3,0.167570,0.2487
v1_baseline,1000,1,1,1.284920,0.2594
v1_baseline,1000,1,2,1.283704,0.2597
v1_baseline,1000,1,3,1.283785,0.2596
v1_baseline,2000,1,1,10.345608,0.2578
v1_baseline,2000,1,2,10.343448,0.2578
v1_baseline,2000,1,3,10.340355,0.2579
v2_serial_opt,500,1,1,0.010518,3.9615
v2_serial_opt,500,1,2,0.010461,3.9831
v2_serial_opt,500,1,3,0.010400,4.0064
v2_serial_opt,1000,1,1,0.098045,3.3998
v2_serial_opt,1000,1,2,0.097858,3.4063
v2_serial_opt,1000,1,3,0.097864,3.4061
v2_serial_opt,2000,1,1,0.794008,3.3585
v2_serial_opt,2000,1,2,0.792144,3.3664
v2_serial_opt,2000,1,3,0.792091,3.3666
v2_serial_opt,4000,1,1,10.049694,2.1228
v2_serial_opt,4000,1,2,10.012357,2.1307
v2_serial_opt,4000,1,3,9.969482,2.1399
v3_serial_opt,500,1,1,0.010286,4.0507
v3_serial_opt,500,1,2,0.010284,4.0517
v3_serial_opt,500,1,3,0.010231,4.0728
v3_serial_opt,1000,1,1,0.095556,3.4884
v3_serial_opt,1000,1,2,0.095221,3.5006
v3_serial_opt,1000,1,3,0.095192,3.5017
v3_serial_opt,2000,1,1,0.768411,3.4704
v3_serial_opt,2000,1,2,0.764410,3.4885
v3_serial_opt,2000,1,3,0.764069,3.4901
v3_serial_opt,4000,1,1,9.770106,2.1835
v3_serial_opt,4000,1,2,9.831072,2.1700
v3_serial_opt,4000,1,3,9.759171,2.1860
v4_blocked_BS16,500,1,1,0.015545,2.6804
v4_blocked_BS16,500,1,2,0.015332,2.7177
v4_blocked_BS16,500,1,3,0.015355,2.7135
v4_blocked_BS16,1000,1,1,0.122663,2.7175
v4_blocked_BS16,1000,1,2,0.122046,2.7312
v4_blocked_BS16,1000,1,3,0.121994,2.7324
v4_blocked_BS16,2000,1,1,0.989079,2.6961
v4_blocked_BS16,2000,1,2,0.985762,2.7052
v4_blocked_BS16,2000,1,3,0.985712,2.7053
v4_blocked_BS16,4000,1,1,18.794205,1.1351
v4_blocked_BS16,4000,1,2,18.788162,1.1355
v4_blocked_BS16,4000,1,3,18.792477,1.1352
v4_blocked_BS32,500,1,1,0.012806,3.2536
v4_blocked_BS32,500,1,2,0.012733,3.2724
v4_blocked_BS32,500,1,3,0.012714,3.2771
v4_blocked_BS32,1000,1,1,0.108970,3.0589
v4_blocked_BS32,1000,1,2,0.108717,3.0661
v4_blocked_BS32,1000,1,3,0.108755,3.0650
v4_blocked_BS32,2000,1,1,0.874258,3.0502
v4_blocked_BS32,2000,1,2,0.871505,3.0598
v4_blocked_BS32,2000,1,3,0.871443,3.0601
v4_blocked_BS32,4000,1,1,16.104651,1.3247
v4_blocked_BS32,4000,1,2,16.101408,1.3249
v4_blocked_BS32,4000,1,3,16.103844,1.3247
v4_blocked_BS64,500,1,1,0.011809,3.5285
v4_blocked_BS64,500,1,2,0.011707,3.5593
v4_blocked_BS64,500,1,3,0.011715,3.5566
v4_blocked_BS64,1000,1,1,0.104267,3.1969
v4_blocked_BS64,1000,1,2,0.104018,3.2046
v4_blocked_BS64,1000,1,3,0.103951,3.2066
v4_blocked_BS64,2000,1,1,0.941123,2.8335
v4_blocked_BS64,2000,1,2,0.945224,2.8212
v4_blocked_BS64,2000,1,3,0.947114,2.8156
v4_blocked_BS64,4000,1,1,14.471147,1.4742
v4_blocked_BS64,4000,1,2,14.481010,1.4732
v4_blocked_BS64,4000,1,3,14.439755,1.4774
v4_blocked_BS128,500,1,1,0.011323,3.6798
v4_blocked_BS128,500,1,2,0.011249,3.7040
v4_blocked_BS128,500,1,3,0.011276,3.6950
v4_blocked_BS128,1000,1,1,0.117026,2.8484
v4_blocked_BS128,1000,1,2,0.116769,2.8546
v4_blocked_BS128,1000,1,3,0.116668,2.8571
v4_blocked_BS128,2000,1,1,1.009921,2.6405
v4_blocked_BS128,2000,1,2,1.007778,2.6461
v4_blocked_BS128,2000,1,3,1.008110,2.6452
v4_blocked_BS128,4000,1,1,13.281235,1.6063
v4_blocked_BS128,4000,1,2,13.280241,1.6064
v4_blocked_BS128,4000,1,3,13.282847,1.6061
