version,n,threads,rep,time_s,gflops
v3_openmp,2000,1,1,0.853233,3.1254
v3_openmp,2000,1,2,0.846241,3.1512
v3_openmp,2000,1,3,0.846311,3.1509
v3_openmp,2000,2,1,0.474090,5.6248
v3_openmp,2000,2,2,0.479008,5.5671
v3_openmp,2000,2,3,0.475693,5.6059
v3_openmp,2000,4,1,0.249232,10.6995
v3_openmp,2000,4,2,0.249563,10.6853
v3_openmp,2000,4,3,0.250709,10.6365
v3_openmp,2000,8,1,0.138630,19.2359
v3_openmp,2000,8,2,0.136559,19.5276
v3_openmp,2000,8,3,0.137789,19.3532
v3_openmp,2000,16,1,0.089635,29.7504
v3_openmp,2000,16,2,0.087871,30.3474
v3_openmp,2000,16,3,0.087836,30.3595
v3_openmp,2000,32,1,0.058487,45.5944
v3_openmp,2000,32,2,0.056566,47.1426
v3_openmp,2000,32,3,0.057502,46.3749
v3_openmp,2000,48,1,0.054433,48.9897
v3_openmp,2000,48,2,0.053880,49.4931
v3_openmp,2000,48,3,0.053921,49.4549
v3_openmp,2000,64,1,0.061700,43.2196
v3_openmp,2000,64,2,0.060430,44.1284
v3_openmp,2000,64,3,0.060177,44.3136
v3_openmp,2000,76,1,0.069863,38.1699
v3_openmp,2000,76,2,0.068545,38.9039
v3_openmp,2000,76,3,0.068590,38.8783
v3_openmp,4000,1,1,10.277315,2.0758
v3_openmp,4000,1,2,10.193472,2.0928
v3_openmp,4000,1,3,10.223593,2.0867
v3_openmp,4000,2,1,4.214506,5.0619
v3_openmp,4000,2,2,4.233755,5.0389
v3_openmp,4000,2,3,4.219103,5.0564
v3_openmp,4000,4,1,2.124292,10.0426
v3_openmp,4000,4,2,2.126511,10.0321
v3_openmp,4000,4,3,2.124407,10.0420
v3_openmp,4000,8,1,1.184101,18.0165
v3_openmp,4000,8,2,1.183198,18.0302
v3_openmp,4000,8,3,1.184964,18.0034
v3_openmp,4000,16,1,0.771113,27.6656
v3_openmp,4000,16,2,0.770772,27.6779
v3_openmp,4000,16,3,0.772145,27.6287
v3_openmp,4000,32,1,0.437782,48.7305
v3_openmp,4000,32,2,0.437437,48.7689
v3_openmp,4000,32,3,0.435282,49.0103
v3_openmp,4000,48,1,0.340689,62.6183
v3_openmp,4000,48,2,0.340542,62.6453
v3_openmp,4000,48,3,0.340700,62.6162
v3_openmp,4000,64,1,0.308554,69.1397
v3_openmp,4000,64,2,0.310313,68.7478
v3_openmp,4000,64,3,0.308011,69.2616
v3_openmp,4000,76,1,0.317203,67.2545
v3_openmp,4000,76,2,0.317246,67.2453
v3_openmp,4000,76,3,0.314996,67.7258
v3_openmp,6000,1,1,42.667306,1.6875
v3_openmp,6000,1,2,42.559316,1.6918
v3_openmp,6000,1,3,42.549482,1.6921
v3_openmp,6000,2,1,23.696362,3.0384
v3_openmp,6000,2,2,23.147740,3.1105
v3_openmp,6000,2,3,23.145841,3.1107
v3_openmp,6000,4,1,12.220344,5.8918
v3_openmp,6000,4,2,12.211900,5.8959
v3_openmp,6000,4,3,12.228563,5.8879
v3_openmp,6000,8,1,7.461878,9.6490
v3_openmp,6000,8,2,7.458690,9.6532
v3_openmp,6000,8,3,7.461909,9.6490
v3_openmp,6000,16,1,5.411263,13.3056
v3_openmp,6000,16,2,5.409471,13.3100
v3_openmp,6000,16,3,5.408902,13.3114
v3_openmp,6000,32,1,4.194816,17.1640
v3_openmp,6000,32,2,4.193557,17.1692
v3_openmp,6000,32,3,4.191453,17.1778
v3_openmp,6000,48,1,3.529803,20.3977
v3_openmp,6000,48,2,3.529532,20.3993
v3_openmp,6000,48,3,3.529113,20.4017
v3_openmp,6000,64,1,2.982259,24.1428
v3_openmp,6000,64,2,2.983144,24.1356
v3_openmp,6000,64,3,2.987289,24.1021
v3_openmp,6000,76,1,2.636166,27.3124
v3_openmp,6000,76,2,2.628238,27.3948
v3_openmp,6000,76,3,2.631950,27.3561
v3_openmp,8000,1,1,107.644897,1.5855
v3_openmp,8000,1,2,107.590102,1.5863
v3_openmp,8000,1,3,107.599564,1.5861
v3_openmp,8000,2,1,67.492821,2.5287
v3_openmp,8000,2,2,66.689436,2.5591
v3_openmp,8000,2,3,66.755560,2.5566
v3_openmp,8000,4,1,36.170595,4.7184
v3_openmp,8000,4,2,36.158380,4.7200
v3_openmp,8000,4,3,36.169757,4.7185
v3_openmp,8000,8,1,23.043245,7.4064
v3_openmp,8000,8,2,23.032533,7.4098
v3_openmp,8000,8,3,23.047496,7.4050
v3_openmp,8000,16,1,17.977265,9.4935
v3_openmp,8000,16,2,17.975078,9.4946
