Working directory: /home/bk489/C2/C2_Coursework
rm -f src/*.o lib/libcholesky.a example/example test/test_correctness test/benchmark
rm -rf lib/
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp -c src/cholesky_v3_openmp.c -o src/cholesky_v3_openmp.o
mkdir -p lib
ar rcs lib/libcholesky.a src/cholesky_v3_openmp.o
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp test/benchmark.c -Llib -lcholesky -lm -o test/benchmark
rm -f src/*.o lib/libcholesky.a example/example test/test_correctness test/benchmark
rm -rf lib/
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp -DBLOCK_NB=128 -c src/cholesky_v5_openmp_blocked.c -o src/cholesky_v5_openmp_blocked.o
mkdir -p lib
ar rcs lib/libcholesky.a src/cholesky_v5_openmp_blocked.o
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp -DBLOCK_NB=128 test/benchmark.c -Llib -lcholesky -lm -o test/benchmark
Done. Results in results/csd3_scaling.csv
version,n,threads,rep,time_s,gflops
v3_openmp,2000,1,1,0.847714,3.1457
v3_openmp,2000,1,2,0.843731,3.1606
v3_openmp,2000,1,3,0.843522,3.1613
v3_openmp,2000,2,1,0.474588,5.6189
v3_openmp,2000,2,2,0.471281,5.6583
v3_openmp,2000,2,3,0.471928,5.6506
v3_openmp,2000,4,1,0.249218,10.7001
v3_openmp,2000,4,2,0.250534,10.6439
v3_openmp,2000,4,3,0.249690,10.6799
v3_openmp,2000,8,1,0.137907,19.3367
v3_openmp,2000,8,2,0.138038,19.3184
v3_openmp,2000,8,3,0.137804,19.3511
v3_openmp,2000,16,1,0.087366,30.5229
v3_openmp,2000,16,2,0.087242,30.5664
v3_openmp,2000,16,3,0.087924,30.3291
v3_openmp,2000,32,1,0.058784,45.3639
v3_openmp,2000,32,2,0.057451,46.4167
v3_openmp,2000,32,3,0.057722,46.1988
v3_openmp,2000,48,1,0.054375,49.0420
v3_openmp,2000,48,2,0.054217,49.1849
v3_openmp,2000,48,3,0.053485,49.8583
v3_openmp,2000,64,1,0.061120,43.6304
v3_openmp,2000,64,2,0.060061,44.3995
v3_openmp,2000,64,3,0.059993,44.4493
v3_openmp,2000,76,1,0.077451,34.4304
v3_openmp,2000,76,2,0.076306,34.9470
v3_openmp,2000,76,3,0.076081,35.0502
v3_openmp,4000,1,1,10.197748,2.0920
v3_openmp,4000,1,2,10.151639,2.1015
v3_openmp,4000,1,3,10.154515,2.1009
v3_openmp,4000,2,1,4.151452,5.1388
v3_openmp,4000,2,2,4.152716,5.1372
v3_openmp,4000,2,3,4.148294,5.1427
v3_openmp,4000,4,1,2.158519,9.8833
v3_openmp,4000,4,2,2.157111,9.8898
v3_openmp,4000,4,3,2.162127,9.8668
v3_openmp,4000,8,1,1.205584,17.6954
v3_openmp,4000,8,2,1.207257,17.6709
v3_openmp,4000,8,3,1.205090,17.7027
v3_openmp,4000,16,1,0.783773,27.2188
v3_openmp,4000,16,2,0.784127,27.2065
v3_openmp,4000,16,3,0.783531,27.2272
v3_openmp,4000,32,1,0.450444,47.3607
v3_openmp,4000,32,2,0.448577,47.5578
v3_openmp,4000,32,3,0.450762,47.3272
v3_openmp,4000,48,1,0.343698,62.0700
v3_openmp,4000,48,2,0.343771,62.0569
v3_openmp,4000,48,3,0.343591,62.0892
v3_openmp,4000,64,1,0.313798,67.9843
v3_openmp,4000,64,2,0.314810,67.7658
v3_openmp,4000,64,3,0.312315,68.3072
v3_openmp,4000,76,1,0.307214,69.4412
v3_openmp,4000,76,2,0.307087,69.4700
v3_openmp,4000,76,3,0.307304,69.4209
v5_blocked_NB128,2000,1,1,0.905619,2.9446
v5_blocked_NB128,2000,1,2,0.905921,2.9436
v5_blocked_NB128,2000,1,3,0.905606,2.9446
v5_blocked_NB128,2000,2,1,0.470549,5.6671
v5_blocked_NB128,2000,2,2,0.470940,5.6624
v5_blocked_NB128,2000,2,3,0.470392,5.6690
v5_blocked_NB128,2000,4,1,0.239994,11.1114
v5_blocked_NB128,2000,4,2,0.244214,10.9194
v5_blocked_NB128,2000,4,3,0.239868,11.1172
v5_blocked_NB128,2000,8,1,0.126689,21.0489
v5_blocked_NB128,2000,8,2,0.125830,21.1927
v5_blocked_NB128,2000,8,3,0.126081,21.1505
v5_blocked_NB128,2000,16,1,0.071350,37.3743
v5_blocked_NB128,2000,16,2,0.071399,37.3488
v5_blocked_NB128,2000,16,3,0.072219,36.9246
v5_blocked_NB128,2000,32,1,0.043757,60.9424
v5_blocked_NB128,2000,32,2,0.043510,61.2890
v5_blocked_NB128,2000,32,3,0.042557,62.6607
v5_blocked_NB128,2000,48,1,0.034580,77.1149
v5_blocked_NB128,2000,48,2,0.033543,79.4998
v5_blocked_NB128,2000,48,3,0.033156,80.4271
v5_blocked_NB128,2000,64,1,0.031154,85.5955
v5_blocked_NB128,2000,64,2,0.029680,89.8471
v5_blocked_NB128,2000,64,3,0.029785,89.5302
v5_blocked_NB128,2000,76,1,0.029603,90.0808
v5_blocked_NB128,2000,76,2,0.028217,94.5070
v5_blocked_NB128,2000,76,3,0.028319,94.1653
v5_blocked_NB128,4000,1,1,8.152091,2.6169
v5_blocked_NB128,4000,1,2,8.154423,2.6162
v5_blocked_NB128,4000,1,3,8.154701,2.6161
v5_blocked_NB128,4000,2,1,4.160443,5.1277
v5_blocked_NB128,4000,2,2,4.154720,5.1347
v5_blocked_NB128,4000,2,3,4.152299,5.1377
v5_blocked_NB128,4000,4,1,2.066462,10.3236
v5_blocked_NB128,4000,4,2,2.067150,10.3202
v5_blocked_NB128,4000,4,3,2.066275,10.3245
v5_blocked_NB128,4000,8,1,1.055221,20.2169
v5_blocked_NB128,4000,8,2,1.055540,20.2108
v5_blocked_NB128,4000,8,3,1.056427,20.1939
v5_blocked_NB128,4000,16,1,0.574627,37.1255
v5_blocked_NB128,4000,16,2,0.576683,36.9932
v5_blocked_NB128,4000,16,3,0.575112,37.0942
v5_blocked_NB128,4000,32,1,0.315667,67.5819
v5_blocked_NB128,4000,32,2,0.316449,67.4148
v5_blocked_NB128,4000,32,3,0.314626,67.8053
v5_blocked_NB128,4000,48,1,0.229415,92.9902
v5_blocked_NB128,4000,48,2,0.230550,92.5324
v5_blocked_NB128,4000,48,3,0.228262,93.4599
v5_blocked_NB128,4000,64,1,0.192264,110.9585
v5_blocked_NB128,4000,64,2,0.190021,112.2685
v5_blocked_NB128,4000,64,3,0.194344,109.7709
v5_blocked_NB128,4000,76,1,0.177366,120.2789
v5_blocked_NB128,4000,76,2,0.174686,122.1239
v5_blocked_NB128,4000,76,3,0.174342,122.3649
