BLOCK_NB,n,threads,rep,time_s,gflops
64,8000,76,1,1.167556,146.1743
64,8000,76,2,1.173549,145.4279
64,8000,76,3,1.178275,144.8446
96,8000,76,1,1.148953,148.5410
96,8000,76,2,1.145641,148.9704
96,8000,76,3,1.131483,150.8345
128,8000,76,1,1.241195,137.5019
128,8000,76,2,1.237928,137.8647
128,8000,76,3,1.236829,137.9873
192,8000,76,1,1.277279,133.6173
192,8000,76,2,1.277587,133.5851
192,8000,76,3,1.277816,133.5613
256,8000,76,1,1.402205,121.7131
256,8000,76,2,1.402169,121.7162
256,8000,76,3,1.402804,121.6611
